Course Name,Instructor,Days,Class Time,Room,Subject,Course Number,Section,Attribute,CRN
HUMAN PHYSIOLOGY LAB,"Wostl, Elijah",W,14:00 - 16:50,JBWN 243,BIOL,2135,02,RESEARCH,40689
EPIDEMIOLOGY,"Baynham, Patricia","M, W, F",10:00 - 10:50,MOOD 206,BIOL,2330,01,GE GLOBAL PERSPECTIVES,40690
EPIDEMIOLOGY,"Baynham, Patricia","M, W, F",11:00 - 11:50,MOOD 206,BIOL,2330,02,GE GLOBAL PERSPECTIVES,40691
MOLECULAR GENETICS,"Goering, Lisa M.","M, W, F",08:00 - 08:50,MOOD 204,BIOL,2334,01,,40692
MOLECULAR GENETICS,"Goering, Lisa M.","M, W, F",09:00 - 09:50,MOOD 204,BIOL,2334,02,,40693
HUMAN PHYSIOLOGY,"Wostl, Elijah","T, Th",08:00 - 09:15,JBWN 202,BIOL,2335,01,,40694
ANATOMY &amp; PHYSIOLOGY I,"Ortiz, Alexis","M, W, F",12:00 - 12:50,JBWS 361,BIOL,2401,01,,40695
ANATOMY &amp; PHYSIOLOGY I,,"M, W, F",13:00 - 13:50,MOOD 204,BIOL,2401,02,,40696
ANATOMY &amp; PHYSIOLOGY I,"Row, Kristopher","T, Th",09:30 - 10:45,MOOD 304,BIOL,2401,03,,40697
ENTOMOLOGY,"Steffenson, Matthew M","M, W, F",09:00 - 09:50,JBWN 204,BIOL,2420,01,TRAVEL-DOMESTIC,40698
ECOLOGY &amp; GLOBAL CHANGE,"Ledesma, David Trevino","T, Th",09:30 - 10:45,JBWN 204,BIOL,2423,01,"EXCHANGE ELIGIBLE, RESEARCH, TRAVEL-DOMESTIC",40699
MICROBIOLOGY LAB,"Edwards, Meredith",T,14:00 - 16:50,JBWN 141,BIOL,3139,01,"ZERO-COST COURSE MATERIALS, TRAVEL-DOMESTIC",40700
MICROBIOLOGY LAB,"Edwards, Meredith",W,14:00 - 16:50,JBWN 141,BIOL,3139,02,"ZERO-COST COURSE MATERIALS, TRAVEL-DOMESTIC",40701
FANH LEADERSHIP,"Steffenson, Matthew M",F,14:00 - 14:50,JBWN 204,BIOL,3145,01,REPEATABLE FOR DEGREE CREDIT,40702
HUMAN GENETICS,"Goering, Lisa M.","T, Th",14:00 - 15:15,JBWN 202,BIOL,3316,01,,40703
BIOSTATISTICS,"Row, Kristopher","T, Th",14:00 - 15:15,JBWN 206,BIOL,3321,01,,40895
IMMUNOLOGY,,"T, Th",08:00 - 09:15,JBWN 204,BIOL,3332,01,,40704
MICROBIOLOGY,"Edwards, Meredith","M, W, F",12:00 - 12:50,MOOD 302,BIOL,3339,01,,40705
NEUROSCIENCE,"Bell, Balyssa Bridget","M, W, F",12:00 - 12:50,MOOD 204,BIOL,3343,01,,40706
GEOGRAPHIC INFORMATION SYSTEMS,"Johnson, Christopher Eric","M, W",17:00 - 18:15,JBWS 268,BIOL,3353,01,,40707
CELL BIOLOGY LAB,"Bell, Balyssa Bridget",W,14:00 - 16:50,JBWN 122,BIOL,4037,01,,40708
CELL BIOLOGY LAB,"Hauser, Charles R.",Th,14:00 - 16:50,JBWN 122,BIOL,4037,02,,40709
RESEARCH IN BIOLOGY,"Baynham, Patricia",,,None None,BIOL,4157,01,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH, TRAVEL-DOMESTIC",40710
RESEARCH IN BIOLOGY,"Edwards, Meredith",,,None None,BIOL,4157,02,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH, TRAVEL-DOMESTIC",40711
RESEARCH IN BIOLOGY,"Goering, Lisa M.",,,None None,BIOL,4157,03,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH, TRAVEL-DOMESTIC",40712
RESEARCH IN BIOLOGY,"Holgado, Andrea",,,None None,BIOL,4157,04,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH, TRAVEL-DOMESTIC",40713
RESEARCH IN BIOLOGY,"Steffenson, Matthew M",,,None None,BIOL,4157,05,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH, TRAVEL-DOMESTIC",40714
RESEARCH IN BIOLOGY,"Wostl, Elijah",,,None None,BIOL,4157,06,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH, TRAVEL-DOMESTIC",40715
RESEARCH IN BIOLOGY,"Ledesma, David Trevino",,,None None,BIOL,4157,07,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH, TRAVEL-DOMESTIC",40716
CULMINATING EXPERIENCE IN BIOLOGICAL SCIENCES,"Goering, Lisa M.",Th,16:00 - 16:50,JBWN 202,BIOL,4167,01,,40717
EVOLUTION,"Row, Kristopher","T, Th",08:00 - 09:15,MOOD 304,BIOL,4344,01,GE MM WRITING RICH - UPPER,40718
CELL BIOLOGY,"Bell, Balyssa Bridget","M, W, F",13:00 - 13:50,JBWS 361,BIOL,4437,01,RESEARCH,40719
INTRODUCTION TO BUSINESS,"Altolemy, Nayera I","M, W",14:00 - 15:15,TRUS 104,BUSI,1301,01,EXCHANGE ELIGIBLE,40579
INTRODUCTION TO BUSINESS,"Lorenz, Thomas","T, Th",14:00 - 15:15,TRUS 203,BUSI,1301,02,EXCHANGE ELIGIBLE,40580
INTRODUCTION TO BUSINESS,"Lorenz, Thomas","T, Th",15:30 - 16:45,TRUS 203,BUSI,1301,03,EXCHANGE ELIGIBLE,40581
EXCEL SKILLS FOR BUSINESS,"Bozeman, Kesha","M, W, F",09:00 - 09:50,TRUS 205,BUSI,1315,01,,40582
EXCEL SKILLS FOR BUSINESS,"Bozeman, Kesha","M, W, F",10:00 - 10:50,TRUS 205,BUSI,1315,02,,40583
EXCEL SKILLS FOR BUSINESS,"Bozeman, Kesha","M, W, F",11:00 - 11:50,TRUS 205,BUSI,1315,03,,40584
EXCEL SKILLS FOR BUSINESS,"Altolemy, Nayera I","M, W, F",12:00 - 12:50,TRUS 205,BUSI,1315,04,,40585
BUSINESS LAW,,"M, W",12:30 - 13:45,None None,BUSI,2303,01,EXCHANGE ELIGIBLE,40586
BUSINESS LAW,,"T, Th",15:30 - 16:45,TRUS 303,BUSI,2303,02,EXCHANGE ELIGIBLE,40587
BUSINESS LAW,,W,18:00 - 20:50,TRUS 216,BUSI,2303,03,EXCHANGE ELIGIBLE,40588
BUSINESS STATISTICS,,"M, W",14:00 - 15:15,TRUS 117,BUSI,2305,01,"EXCHANGE ELIGIBLE, GE QUANTITATIVE REASONING",40589
BUSINESS STATISTICS,,"T, Th",12:30 - 13:45,TRUS 104,BUSI,2305,02,"EXCHANGE ELIGIBLE, GE QUANTITATIVE REASONING",40590
BUSINESS AND PROFESSIONAL SPEAKING,"Ortiz, Lorelei A.","T, Th",15:30 - 16:45,TRUS 214,BUSI,2321,01,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40591
SPECIAL TOPICS IN BUSINESS ADMINISTRATION,"Tedesco, Fred",W,13:00 - 13:50,TRUS 211,BUSI,3199,01,REPEATABLE FOR DEGREE CREDIT,40592
PROJECT MANAGEMENT,"Brunner, Frances Inez","T, Th",17:00 - 18:15,TRUS 303,BUSI,3326,01,,40593
SOCIAL RESPONSIBILITY OF BUSINESS,,"M, W",14:00 - 15:15,TRUS 112,BUSI,3328,01,"GE MM EXP LEARNING SOC JUSTICE, GE MM WRITING RICH - UPPER",40594
SOCIAL RESPONSIBILITY OF BUSINESS,"Wilburn, Kathleen M.","T, Th",14:00 - 15:15,TRUS 215,BUSI,3328,02,"GE MM EXP LEARNING SOC JUSTICE, GE MM WRITING RICH - UPPER",40595
